Open Time,Open,High,Low,Close,Volume
2024-11-28 23:57:00,3.29590000,3.31910000,3.28000000,3.28010000,149409.60000000
2024-11-29 00:00:00,3.28010000,3.32920000,3.27830000,3.31350000,130520.00000000
2024-11-29 00:03:00,3.31210000,3.31240000,3.28000000,3.28310000,129360.10000000
2024-11-29 00:06:00,3.28300000,3.30000000,3.26030000,3.29370000,143515.40000000
2024-11-29 00:09:00,3.29190000,3.29510000,3.25720000,3.25910000,132476.80000000
2024-11-29 00:12:00,3.25900000,3.27570000,3.23630000,3.24110000,250839.50000000
2024-11-29 00:15:00,3.24350000,3.28540000,3.24300000,3.27730000,127599.60000000
2024-11-29 00:18:00,3.27740000,3.30520000,3.26930000,3.27900000,146483.80000000
2024-11-29 00:21:00,3.27910000,3.32000000,3.27910000,3.30490000,82692.90000000
2024-11-29 00:24:00,3.30490000,3.30550000,3.28410000,3.30120000,54283.50000000
2024-11-29 00:27:00,3.30130000,3.34230000,3.29950000,3.31640000,203326.10000000
2024-11-29 00:30:00,3.31620000,3.33480000,3.30230000,3.31800000,93721.20000000
2024-11-29 00:33:00,3.31820000,3.33600000,3.31290000,3.32180000,119128.20000000
2024-11-29 00:36:00,3.32040000,3.32660000,3.29590000,3.29780000,114596.80000000
2024-11-29 00:39:00,3.29790000,3.31280000,3.23470000,3.29020000,652590.00000000
2024-11-29 00:42:00,3.29290000,3.31210000,3.28260000,3.28330000,176910.40000000
2024-11-29 00:45:00,3.28430000,3.28910000,3.25310000,3.26050000,75796.90000000
2024-11-29 00:48:00,3.26010000,3.26830000,3.16220000,3.16290000,500783.70000000
2024-11-29 00:51:00,3.16440000,3.21160000,3.16440000,3.20220000,196332.10000000
2024-11-29 00:54:00,3.20170000,3.21310000,3.17170000,3.17710000,142329.80000000
2024-11-29 00:57:00,3.17680000,3.20440000,3.16840000,3.19160000,144783.30000000
2024-11-29 01:00:00,3.19120000,3.20660000,3.12270000,3.18700000,658679.50000000
2024-11-29 01:03:00,3.18620000,3.26710000,3.18590000,3.26160000,387590.70000000
2024-11-29 01:06:00,3.26040000,3.27780000,3.23860000,3.25400000,168108.80000000
2024-11-29 01:09:00,3.25970000,3.28110000,3.25330000,3.26120000,84500.90000000
2024-11-29 01:12:00,3.26270000,3.26990000,3.25260000,3.26520000,74617.20000000
2024-11-29 01:15:00,3.26540000,3.26580000,3.24180000,3.26290000,169682.30000000
2024-11-29 01:18:00,3.26330000,3.26330000,3.24040000,3.24370000,42994.40000000
2024-11-29 01:21:00,3.24440000,3.25170000,3.17610000,3.20760000,468120.00000000
2024-11-29 01:24:00,3.20810000,3.24550000,3.20350000,3.21240000,198555.10000000
2024-11-29 01:27:00,3.21240000,3.21280000,3.19250000,3.20180000,210225.10000000
2024-11-29 01:30:00,3.20160000,3.22470000,3.17100000,3.17380000,202848.10000000
2024-11-29 01:33:00,3.17390000,3.19030000,3.15870000,3.16750000,260823.30000000
2024-11-29 01:36:00,3.16760000,3.19470000,3.16520000,3.17710000,172222.60000000
2024-11-29 01:39:00,3.17880000,3.19330000,3.17650000,3.19190000,57279.20000000
2024-11-29 01:42:00,3.19280000,3.19660000,3.18930000,3.19270000,37763.60000000
2024-11-29 01:45:00,3.19350000,3.19490000,3.17220000,3.17410000,82277.80000000
2024-11-29 01:48:00,3.17470000,3.23130000,3.17470000,3.22020000,149407.70000000
2024-11-29 01:51:00,3.22100000,3.31000000,3.21530000,3.28460000,498541.40000000
2024-11-29 01:54:00,3.28460000,3.30630000,3.26590000,3.28010000,289953.80000000
2024-11-29 01:57:00,3.28170000,3.28300000,3.26180000,3.26540000,90307.20000000
2024-11-29 02:00:00,3.26700000,3.27560000,3.24210000,3.24440000,289068.20000000
2024-11-29 02:03:00,3.24440000,3.24540000,3.20530000,3.23160000,201807.10000000
2024-11-29 02:06:00,3.23290000,3.23880000,3.22110000,3.23260000,87087.70000000
2024-11-29 02:09:00,3.23480000,3.26250000,3.22570000,3.25820000,94564.60000000
